BSN;Name;PLZ;Adresse;City;Latitude;Longitude;;;;;;;;;;;;;
06G32;Grundschule am Stadtpark Steglitz;12167;Karl-Stieler-Str. 10-11;Berlin;52.44934;13.34299;;;;;;;;;;;;;
09G24;Müggelsee-Schule (Grundschule);12587;Aßmannstr. 63;Berlin;52.45057;13.62735;;;;;;;;;;;;;
06P12;Evangelische Schule Steglitz (Integrierte Sekundarschule);12167;Beymestr. 6-7;Berlin;52.45058;13.33162;;;;;;;;;;;;;
09K05;Wilhelm-Bölsche-Schule (Integrierte Sekundarschule);12587;Aßmannstr. 11;Berlin;52.45096;13.61926;;;;;;;;;;;;;
09Y03;Archenhold-Gymnasium;12439;Rudower Str. 7;Berlin;52.45138;13.5229;;;;;;;;;;;;;
09P09;BEST-Sabel-Oberschule;12555;Lindenstr. 1;Berlin;52.45166;13.57159;;;;;;;;;;;;;
06G17;Grundschule am Insulaner;12169;Hanstedter Weg 11-15;Berlin;52.45184;13.34977;;;;;;;;;;;;;
06B04;Wilhelm-Ostwald-Schule (OSZ Gestaltung);12169;Immenweg 6;Berlin;52.45206;13.34579;;;;;;;;;;;;;
09Y06;Gerhart-Hauptmann-Gymnasium;12587;Bruno-Wille-Str. 37/39;Berlin;52.45228;13.63274;;;;;;;;;;;;;
09P01;Freie Waldorfschule Berlin-Südost;12439;Bruno-Bürgel-Weg 9;Berlin;52.45249;13.53402;;;;;;;;;;;;;
06K10;Helene-Lange-Schule (Integrierte Sekundarschule);12169;Lauenburger Str. 110/114;Berlin;52.45274;13.33588;;;;;;;;;;;;;
09P13;Evangelische Grundschule Friedrichshagen;12587;Peter-Hille-Str. 36;Berlin;52.45279;13.62067;;;;;;;;;;;;;
06Y08;Hermann-Ehlers-Gymnasium;12169;Elisenstr. 3-4;Berlin;52.45295;13.33371;;;;;;;;;;;;;
05P05;Berufsschule des Rotkreuz-Instituts;14089;Krampnitzer Weg 83-87;Berlin;52.45307;13.11836;;;;;;;;;;;;;
07P17;Humanistische Fachschule für Sozialpädagogik;12109;Ullsteinstr. 130;Berlin;52.45327;13.38667;;;;;;;;;;;;;
07G22;Paul-Klee-Grundschule;12105;Konradinstr. 15-17;Berlin;52.45384;13.37548;;;;;;;;;;;;;
09P10;Bewegte Schule Köpenick (Grundschule);12555;Lindenstr. 26;Berlin;52.45392;13.56794;;;;;;;;;;;;;
06Y09;Fichtenberg-Oberschule;12165;Rothenburgstr. 18;Berlin;52.45398;13.31316;;;;;;;;;;;;;
06G12;Quentin-Blake-Grundschule;14195;Hüttenweg 40;Berlin;52.45434;13.2696;;;;;;;;;;;;;
06S02;Biesalski-Schule;14195;Hüttenweg 40;Berlin;52.45434;13.2696;;;;;;;;;;;;;
08G19;Herman-Nohl-Schule (Grundschule);12347;Hannemannstr. 68;Berlin;52.45445;13.43939;;;;;;;;;;;;;
09G27;Friedrichshagener Schule (Grundschule);12587;Peter-Hille-Str. 7;Berlin;52.45455;13.6214;;;;;;;;;;;;;
06G16;Rothenburg-Grundschule;12165;Rothenburgstr. 16/17;Berlin;52.45456;13.31386;;;;;;;;;;;;;
07P05;Freie Schule in Berlin (Grundschule);12105;Viktoriastr. 13;Berlin;52.45463;13.38225;;;;;;;;;;;;;
06K02;Wilma-Rudolph-Schule (Integrierte Sekundarschule);14169;Am Hegewinkel 2 A;Berlin;52.45472;13.26111;;;;;;;;;;;;;
09G07;Schule an der alten Feuerwache (Grundschule);12439;Schnellerstr. 31;Berlin;52.45496;13.51432;;;;;;;;;;;;;
07P16;Vivantes Berufsfachschule für Altenpflege;12099;Colditzstr. 34;Berlin;52.4554;13.39483;;;;;;;;;;;;;
05G19;Grundschule am Ritterfeld;14089;Schallweg 31;Berlin;52.45542;13.13862;;;;;;;;;;;;;
06G34;34. Schule (Grundschule);12169;Plantagenstr. 8-9;Berlin;52.45549;13.33061;;;;;;;;;;;;;
06S05;J.-A.-Zeune-Schule für Blinde und Berufsfachschule Dr. Silex;12165;Rothenburgstr. 14;Berlin;52.45579;13.31515;;;;;;;;;;;;;
09G23;Hauptmann-von-Köpenick-Schule (Grundschule);12555;Borgmannstr. 2-3;Berlin;52.45609;13.58081;;;;;;;;;;;;;
